locus_tag,gene_name,function,logFC_AgNO3,PValue,q.value,logFC_BZK,PValue,q.value,logFC_CTAB,PValue,q.value,logFC_CHL,PValue,q.value,logFC_TRC,PValue,q.value,logFC_CRL,PValue,q.value,logFC_PVPi,PValue,q.value,logFC_HClO,PValue,q.value,logFC_GLU,PValue,q.value,logFC_EtOH,PValue,q.value
BAL062_00011,erpA,"iron-sulfur cluster insertion protein ErpA,Iron-sulfur cluster insertion protein erpA,iron-sulfur cluster insertion protein ErpA,iron-sulfur cluster assembly accessory protein,Iron-sulphur cluster biosynthesis",-3.4262451,0.508467471,0.877305729,-2.317047195,1,1,-2.28125099,1,1,-2.126181915,1,1,,,,X,X,X,-2.268562653,1,1,-2.30459686,1,1,-2.28628229,1,1,-2.327984126,1,1
BAL062_00012,dehH1,"Hydrolase,Haloacetate dehalogenase H-1,short chain dehydrogenase,putative magnesium chelatase accessory protein,Alpha/beta hydrolase family",-0.120232479,0.316248071,0.751563074,-0.100788693,0.137709203,0.581274328,-0.1564135,0.035353403,0.178587793,0.798232459,0.225251213,0.887680715,0.008493788,0.898821013,0.981191674,-0.084525877,0.223992992,0.756366977,-0.067549194,0.466136819,1,-0.104981396,0.211450714,1,-0.126479217,0.08157841,0.469701861,-0.147804332,0.050117848,0.451441481
BAL062_00013,anmK,"anhydro-N-acetylmuramic acid kinase,Anhydro-N-acetylmuramic acid kinase,anhydro-N-acetylmuramic acid kinase,Uncharacterised protein family (UPF0075)",1.194564173,2.11E-14,6.55E-13,0.157926116,0.039472037,0.281158682,-0.019908831,0.839182273,0.981826576,0.82346851,0.09333034,0.613241199,0.288748465,4.36E-05,0.000534239,0.008608268,0.93383498,1,0.129830522,0.246099655,1,-0.170375051,0.16381916,0.948073007,0.171322109,0.016097147,0.166761046,-0.170805683,0.098629284,0.637917329
BAL062_00014,tyrS,"tyrosyl-tRNA synthetase,Tyrosine--tRNA ligase,tyrosyl-tRNA synthetase,Tyrosyl-tRNA synthetase,tyrosine--tRNA ligase,tRNA synthetases class I (W and Y)",X,X,X,X,,,X,X,X,3.463899395,0.629972681,1,-2.341818219,1,1,-2.301361863,1,1,X,X,X,2.340357879,1,1,X,X,X,X,X,X
BAL062_00017,yfcG_1,"Putative glutathione S-transferase,GST-like protein yfcG,GSH-dependent disulfide bond oxidoreductase,maleylacetoacetate isomerase,Glutathione S-transferase, C-terminal domain",-0.40330765,0.028092716,0.172604376,-0.055225953,0.544748417,0.912130879,0.066409597,0.452432956,0.788909022,-0.959893898,0.630918646,1,0.052103265,0.555276848,0.789300719,-0.09081541,0.342781954,0.844981145,0.107858301,0.363734317,1,-0.084518686,0.451338558,1,-0.036505903,0.684022486,0.969712068,-0.095155666,0.29825699,0.938062056
BAL062_00018,BAL062_00018,outer membrane protein,0.06644916,0.630839565,0.929450967,-0.113318954,0.103253386,0.502471368,-0.187631218,0.007131848,0.052904528,0.223421386,0.787053496,1,-0.11796408,0.054452568,0.198928641,-0.141862208,0.034912634,0.29925115,-0.108583368,0.236613503,1,-0.132204916,0.15726427,0.92872222,-0.039126035,0.638143235,0.965477197,-0.141556951,0.064160532,0.51394985
BAL062_00019,BAL062_00019,"Transporter,Na+-dependent transporters of the SNF family,Sodium:neurotransmitter symporter family",-0.061534553,0.670093897,0.934341945,-0.086453076,0.254704624,0.746162055,-0.094773511,0.289897994,0.649347343,-0.80558789,0.151318626,0.781679045,0.075918829,0.218110079,0.482295912,-0.064039862,0.478037655,0.913681767,-0.005866161,0.957723875,1,-0.088754215,0.448021266,1,-0.047748517,0.488196037,0.921000216,-0.075802219,0.443194697,0.987690888
BAL062_00020,BAL062_00020,signal peptide,-0.259082477,0.209424167,0.627032258,-0.151462164,0.140525428,0.587545961,-0.068269336,0.473561539,0.80198839,-0.032745538,0.987653625,1,0.129258923,0.176084696,0.423513021,-0.088598081,0.431112303,0.888312054,-0.01044313,0.94260748,1,-0.324105317,0.003168961,0.070130491,-0.053906222,0.605113843,0.955804975,-0.097905762,0.341915018,0.975382157
BAL062_00021,rsmB,"16S rRNA m5C967 SAM-dependent methyltransferase,Ribosomal RNA small subunit methyltransferase B,16S rRNA methyltransferase B,tRNA and rRNA cytosine-C5-methylases,ribosomal RNA small subunit methyltransferase B,NOL1/NOP2/sun family",-0.018914824,0.89489434,0.999629112,0.237367841,0.002544115,0.035527103,0.257732681,0.005781694,0.045876768,-0.125782814,0.854147726,1,0.229846956,0.000444955,0.004209227,-0.055729632,0.523284691,0.922523808,0.096662779,0.376715642,1,-0.099346446,0.385208641,1,0.196310499,0.008440143,0.109783461,0.005899717,0.953790827,1
BAL062_00022,fmt,"Methionyl-tRNA formyltransferase,Methionyl-tRNA formyltransferase,methionyl-tRNA formyltransferase,Folate-dependent phosphoribosylglycinamide formyltransferase PurN,methionyl-tRNA formyltransferase,Formyl transferase",X,X,X,X,,,X,X,X,3.463870723,0.630232092,1,X,,,X,X,X,3.232168745,0.503236105,1,X,X,X,X,X,X,X,X,X
BAL062_00023,ilvD_1,"Dihydroxy-acid dehydratase 1,Dihydroxy-acid dehydratase,dihydroxy-acid dehydratase,Dihydroxyacid dehydratase/phosphogluconate dehydratase,dihydroxy-acid dehydratase,Dehydratase family",0.10856205,0.469856132,0.864516187,-0.459475644,4.39E-07,1.20E-05,-0.757873288,3.42E-14,1.89E-12,-1.919921113,0.000354916,0.019504274,0.346486718,9.36E-08,1.84E-06,-0.260137295,0.005299096,0.074145457,-0.128430788,0.373031999,1,-0.399025616,0.002081734,0.048478546,-0.434437618,3.04E-07,1.64E-05,-0.348249126,0.001630377,0.036913412
BAL062_00024,BAL062_00024,hypothetical protein,0.489851512,0.002060198,0.018411721,0.182011555,0.019258318,0.175359886,0.242231944,0.01215378,0.080365166,1.995941512,7.46E-05,0.005107048,0.143174539,0.025305534,0.115374974,-0.035781757,0.701439203,0.970237493,0.123320756,0.304993921,1,0.088505942,0.46976324,1,0.073308087,0.308879957,0.825223513,-0.107949856,0.288550536,0.935868221
BAL062_00025,BAL062_00025,"permease,Sulfite exporter TauE/SafE",-0.027057614,0.824529451,0.987099975,0.051298815,0.475027805,0.897040201,0.06039738,0.393812063,0.747607739,0.355855738,0.661498879,1,0.142715752,0.008164217,0.048627943,0.013085696,0.829504837,1,0.097331241,0.302976286,1,-0.012850449,0.88892325,1,-0.0099188,0.893929799,1,-0.025243926,0.730117007,1
BAL062_00026,gltC_1,"transcription activator of glutamate synthase operon GltC,CysJI operon transcriptional activator,DNA-binding transcriptional regulator HcaR,aminoethylphosphonate catabolism associated LysR family transcriptional regulator,LysR substrate binding domain",-0.316420841,0.017779281,0.119113795,-0.114008254,0.097127404,0.491788381,-0.14575593,0.040975279,0.197075824,0.67405091,0.291806539,0.949419455,0.009357401,0.874182133,0.969243618,-0.076862065,0.242048666,0.772105618,-0.009561773,0.916838378,1,-0.204390227,0.017014583,0.256586479,-0.198474834,0.006381261,0.087416302,-0.117808022,0.112200166,0.683583571
BAL062_00027,rutG,"Putative uracil transport protein,Putative pyrimidine permease RutG,uracil transporter,pyrimidine utilization transport protein G,Permease family",-0.308446339,0.039456264,0.224856228,-0.106100426,0.147622038,0.602250184,-0.068144106,0.441305679,0.784480877,-0.202027717,0.703119267,1,0.009729484,0.873495972,0.969243618,-0.024853697,0.78124517,0.993358996,0.007539915,0.944322293,1,-0.140050086,0.216597755,1,-0.043052647,0.526334124,0.933725643,-0.113320735,0.242389123,0.911867241
BAL062_00028,ppc,"phosphoenolpyruvate carboxylase,Phosphoenolpyruvate carboxylase,phosphoenolpyruvate carboxylase,Uncharacterized protein conserved in archaea,Phosphoenolpyruvate carboxylase",-0.255787186,0.102047118,0.43199133,-0.007298424,0.925410815,1,0.012474342,0.895563062,0.996292745,-0.317242816,0.515794268,1,0.227137694,0.000484208,0.004532084,-0.077326329,0.432479079,0.888552489,0.020906976,0.843112009,1,-0.061591885,0.610555239,1,0.024353428,0.744411112,0.983312184,-0.13315491,0.21347459,0.875470728
BAL062_00029,acrR_1,"Putative transcriptional regulator,Potential acrAB operon repressor,DNA-binding transcriptional repressor AcrR,pyrimidine utilization regulatory protein R,Bacterial regulatory proteins, tetR family",-0.27689476,0.048221237,0.259978581,-0.030179203,0.678571866,0.952786142,-0.024217031,0.783418481,0.956600145,-0.927705919,0.192842403,0.843714592,0.32222438,1.76E-07,3.34E-06,-0.032061433,0.706131785,0.970237493,0.031099814,0.765858964,1,-0.086818755,0.420834606,1,-0.025230039,0.715017916,0.980124559,-0.088386066,0.335065489,0.969890848
BAL062_00030,mdtA,"Putative RND family drug transporter,Macrolide-specific efflux protein macA precursor,macrolide transporter subunit MacA,efflux transporter, RND family, MFP subunit,HlyD family secretion protein",0.615082123,6.67E-05,0.000831646,0.00234171,0.976163598,1,0.042963821,0.647977185,0.895641272,1.677096352,0.000737422,0.037147623,-2.890350321,1.51E-293,1.78E-290,-0.22315187,0.022572379,0.225087945,0.058555138,0.600293914,1,0.048584556,0.696410671,1,0.079061076,0.286763221,0.802974471,0.04661923,0.656591795,0.993317442
BAL062_00031,czcA_1,"Acr family drug resistance transporter,Cation efflux system protein CzcA,multidrug efflux protein,heavy metal efflux pump, CzcA family,AcrB/AcrD/AcrF family",-0.599089967,0.000139132,0.001649602,-0.058679112,0.448196796,0.886606541,0.052897057,0.577299875,0.857633306,1.398575734,0.004766897,0.145290203,-2.869975795,0,0,-0.185640209,0.057718612,0.404601759,0.022379888,0.831913184,1,-0.012207953,0.919934777,1,0.078484338,0.272425751,0.792130737,0.03195727,0.765403779,1
BAL062_00032,BAL062_00032,hypothetical protein,-2.195805403,1.28E-20,7.06E-19,-0.087262144,0.414194815,0.863333499,-0.129069988,0.104222445,0.369116802,1.578938235,0.025422207,0.300150329,0.259018108,8.19E-05,0.000934194,-0.02274721,0.772632411,0.99081821,0.282782536,0.007483545,0.338464638,-0.386666397,0.00019841,0.006201169,0.275369657,0.000320109,0.007255336,-0.026692604,0.727111345,1
BAL062_00033,dnaJ,"chaperone protein dnaJ,Heat shock protein J,chaperone protein DnaJ,Preprotein translocase subunit Sec63,chaperone protein DnaJ,DnaJ C terminal domain",2.129993845,1,1,-3.165059931,0.502084762,0.898350531,-0.760163254,1,1,-2.964699203,0.625746825,1,2.843891009,0.023306656,0.108213844,0.042657269,1,1,-3.111260878,0.50308515,1,-3.15123002,0.502156092,1,0.081744758,1,1,0.90458055,0.690631476,1
BAL062_00034,BAL062_00034,signal peptide,-0.090295211,0.501580722,0.877305729,-0.024711719,0.708256261,0.956571303,-0.038995082,0.569489876,0.8538131,-0.184834455,0.823724884,1,0.035262088,0.535487176,0.779010538,-0.05525839,0.400153212,0.873223431,-0.067062046,0.459714969,1,-0.167593174,0.075015608,0.664869139,-0.108163734,0.138590551,0.603171743,-0.092699174,0.208589039,0.8718775
BAL062_00035,dapB,"Dihydrodipicolinate reductase,Dihydrodipicolinate reductase,dihydrodipicolinate reductase,Dihydrodipicolinate reductase,dihydrodipicolinate reductase,Dihydrodipicolinate reductase, C-terminus",-3.426252102,0.508457097,0.877305729,X,,,X,X,X,2.597389396,1,1,X,,,2.343580279,1,1,X,X,X,X,X,X,X,X,X,X,X,X
BAL062_00036,BAL062_00036,"collagenase,START domain",-0.266922126,0.054970691,0.285534023,0.001241026,0.987869916,1,-0.004401442,0.960818371,1,-0.103054435,0.84897639,1,0.132196542,0.041095905,0.16484956,-0.003894202,0.965546842,1,0.065265456,0.534346711,1,-0.021584579,0.846774389,1,0.02172068,0.750462936,0.986955684,0.010132177,0.916628734,1
BAL062_00037,ydhP_1,"MFS family transporter,Inner membrane transport protein ydhP,MFS transport protein AraJ,Arabinose efflux permease,multidrug resistance protein,Major Facilitator Superfamily",-0.156451599,0.258256574,0.692564849,-0.020199205,0.783334287,0.974822133,-0.051096622,0.567134094,0.85305455,-0.512693474,0.392278481,1,0.02854169,0.635597126,0.844376327,-0.137420047,0.104341885,0.563924081,-0.014709172,0.887601204,1,-0.121888519,0.258038496,1,-0.052693483,0.454089533,0.921000216,-0.094284217,0.305836498,0.947461678
BAL062_00038,dkgB,"2,5-diketo-D-gluconate reductase B,2,5-diketo-D-gluconic acid reductase B,2,5-diketo-D-gluconate reductase B,Predicted oxidoreductase,voltage-dependent potassium channel beta subunit,Aldo/keto reductase family",-0.077282404,0.530214263,0.887868901,0.033618041,0.612032591,0.932750369,-0.017940232,0.787056939,0.957310255,0.657733322,0.351191551,0.986360514,0.036126615,0.522034259,0.769244984,-0.064978968,0.315828079,0.825894252,0.001203723,0.99206892,1,-0.024538422,0.780504661,1,-0.031593611,0.651143571,0.966337677,-0.041561863,0.575287914,0.990582323
BAL062_00039,dmlR_1,"Putative transcriptional regulator,D-malate degradation protein R,DNA-binding transcriptional activator GcvA,ABC-type uncharacterized transport system, periplasmic component,putative choline sulfate-utilization transcription factor,LysR substrate binding domain",-0.226922881,0.062051802,0.31105004,0.048023924,0.512019921,0.900549379,0.052027325,0.546685962,0.838119003,1.12576775,0.05588416,0.466817244,0.031530105,0.603731361,0.824540139,-0.015679313,0.852793968,1,0.013858271,0.892449838,1,0.02090352,0.845092272,1,0.056568746,0.424616761,0.909933293,-0.023630025,0.794546874,1
BAL062_00040,BAL062_00040,hypothetical protein,-0.371444444,0.014594456,0.100720242,-0.068130167,0.390253436,0.84345284,0.0133702,0.874111784,0.991395482,-1.060525858,0.560044791,1,-0.099520416,0.164889793,0.408159508,-0.076907581,0.338748448,0.841141234,-0.057709703,0.578293443,1,-0.053352349,0.606396865,1,-0.067822288,0.427613726,0.909933293,-0.105626595,0.186001289,0.844421442
BAL062_00041,ydcR_1,"GntR family transcriptional regulator,Uncharacterized HTH-type transcriptional regulator ydcR,aspartate aminotransferase,Alanine-alpha-ketoisovalerate (or valine-pyruvate) aminotransferase,tyrosine/nicotianamine family aminotransferase,Aminotransferase class I and II",-0.081666626,0.591639424,0.913564764,0.039027026,0.61317426,0.932750369,0.013300581,0.889006067,0.99306562,0.447502615,0.383766278,0.995664294,0.047550576,0.451500839,0.723491267,-0.034330156,0.721849619,0.977188394,0.044403594,0.688648718,1,-0.029799284,0.803776382,1,-0.00850986,0.905261477,1,-0.050130318,0.637309784,0.993317442
BAL062_00042,adhC2_1,"Putative alcohol dehydrogenase,NADP-dependent alcohol dehydrogenase C 2,ethanol-active dehydrogenase/acetaldehyde-active reductase,Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase,zinc-binding alcohol dehydrogenase family protein,Alcohol dehydrogenase GroES-like domain",-0.069252284,0.636991351,0.930422521,-0.005794908,0.939271468,1,0.084739214,0.325432431,0.689158899,-0.541284076,0.485432448,1,0.108864775,0.068294902,0.231888064,0.000805067,0.994025137,1,0.043570297,0.683333662,1,-0.016184387,0.88238369,1,-0.117036906,0.086406663,0.486957768,-0.024078732,0.795475578,1
BAL062_00043,tag,"3-methyladenine DNA glycosylase,DNA-3-methyladenine glycosylase 1,3-methyl-adenine DNA glycosylase I,3-methyladenine DNA glycosylase,DNA-3-methyladenine glycosylase I,Methyladenine glycosylase",-0.275887812,0.039411138,0.224856228,0.073099574,0.281350251,0.769953864,0.064438299,0.379618074,0.734080732,0.444219894,0.461706047,1,0.077898497,0.212549565,0.479270791,0.020547746,0.776444205,0.991562946,0.019024058,0.842153833,1,-0.050376093,0.600949482,1,-0.111211557,0.109129521,0.55012392,-0.037203243,0.643346929,0.993317442
BAL062_00044,BAL062_00044,hypothetical protein,-0.060452339,0.673428229,0.93644892,0.240881243,0.007658575,0.090192481,0.468823448,3.49E-08,9.34E-07,0.424065388,0.740384779,1,0.224176034,0.007258222,0.044505357,0.237745371,0.003797248,0.05531793,0.238834749,0.064817419,0.939551637,0.125575061,0.241911617,1,0.087297912,0.397201877,0.898475017,0.15861439,0.127267743,0.724810002
BAL062_00045,lytM_1,"metalloendopeptidase-like membrane protein,Glycyl-glycine endopeptidase lytM precursor,putative peptidase,Membrane-bound metallopeptidase,Peptidase family M23",0.048762814,0.743756785,0.961072988,-0.011351926,0.864497203,0.993461585,0.017775973,0.797722781,0.960353175,-0.299762835,0.743749932,1,-0.039123873,0.512904197,0.761843444,-0.101739622,0.125987012,0.602694624,0.046517287,0.618460497,1,-0.184395489,0.051185014,0.544798123,-0.019279021,0.795913948,1,-0.036128083,0.609743886,0.990582323
BAL062_00046,mutY,"A/G-specific adenine glycosylase,A/G-specific adenine glycosylase,adenine DNA glycosylase,3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase,A/G-specific adenine glycosylase,HhH-GPD superfamily base excision DNA repair protein",-0.06592743,0.641685355,0.930422521,-0.03098176,0.677984811,0.952786142,-0.072765059,0.408263372,0.755544008,0.002405708,0.996554351,1,-0.055235724,0.357310226,0.634939015,-0.063216519,0.471720905,0.913681767,-0.035652172,0.734436107,1,-0.107607609,0.33951168,1,-0.066869392,0.318397907,0.835316613,-0.061158384,0.522202063,0.990582323
BAL062_00047,BAL062_00047,"Putative histidine triad family protein,AP-4-A phosphorylase,HIT domain",0.191088836,0.175085821,0.577211723,-0.032881295,0.67749509,0.952786142,-0.007325824,0.923840412,1,-0.927512442,0.448282673,1,-0.000677627,0.995189229,1,-0.110693368,0.157575615,0.658837022,0.033965367,0.739223928,1,-0.049522575,0.637025579,1,0.018721147,0.843515611,1,-0.093510733,0.250629596,0.911867241
BAL062_00048,clcD_1,"dienelactone hydrolase,Carboxymethylenebutenolidase,Predicted dienelactone hydrolase,Dienelactone hydrolase family",-0.110670142,0.428804299,0.834729602,-0.020853075,0.781637333,0.974558048,-0.029259709,0.737273519,0.93914603,0.795924303,0.134886046,0.73679471,0.017239709,0.776574356,0.925402517,-0.029953942,0.727229436,0.979956178,-0.016588804,0.87404706,1,-0.021373729,0.848135056,1,0.017918007,0.794535334,1,-0.051932518,0.582329181,0.990582323
BAL062_00049,BAL062_00049,"hypothetical protein,Small integral membrane protein,Protein of unknown function (DUF1328)",0.440291627,0.013788365,0.096246596,0.132678151,0.188946131,0.672018058,0.149584453,0.109372744,0.380863077,-3.014520795,0.18777867,0.835672681,0.190575944,0.046294433,0.178640162,0.090833963,0.39251648,0.871630258,0.059117209,0.621874541,1,0.043138906,0.707350319,1,-0.014803897,0.911762205,1,0.076478843,0.490090231,0.987690888
BAL062_00050,BAL062_00050,"hypothetical protein,Uncharacterized conserved protein,Flagellin N-methylase",-0.11644581,0.361589784,0.785071317,0.053989371,0.466438199,0.894891946,0.087647201,0.197686115,0.537359256,-0.607003453,0.683314329,1,0.015795008,0.787607521,0.930478648,-0.048353797,0.450454191,0.902283676,0.018750934,0.844400499,1,0.041978981,0.654032718,1,-0.001912099,0.979560353,1,-0.048474401,0.46713726,0.987690888
BAL062_00051,yliI,"glucose / Sorbosone dehydrogenase family protein,Soluble aldose sugar dehydrogenase yliI precursor,Cytochrome c551/c552,dehydrogenase, PQQ-dependent, s-GDH family,Glucose / Sorbosone dehydrogenase",-0.152222364,0.306325023,0.740693673,-0.019123953,0.804522608,0.981183785,0.003585604,0.97029559,1,-0.430157819,0.399986438,1,-0.02214495,0.731893957,0.900332236,-0.085423785,0.367364764,0.858304037,0.025744823,0.821845987,1,-0.044950868,0.714185568,1,0.004749819,0.947959701,1,-0.013377679,0.897599031,1
BAL062_00052,rarA,"recombination factor protein RarA,Replication-associated recombination protein A,recombination factor protein RarA,Holliday junction resolvasome, helicase subunit,DNA polymerase III, subunit gamma and tau,MgsA AAA+ ATPase C terminal",-0.12399654,0.389661896,0.806513024,0.004762629,0.951029183,1,0.056834757,0.526123268,0.825223463,-0.391265052,0.456883262,1,0.112722434,0.066225867,0.227261996,0.046832723,0.606864692,0.952163966,0.0732483,0.5016244,1,-0.036305319,0.755612231,1,0.000268268,0.998473185,1,-0.009646631,0.924245569,1
BAL062_00053,yfdC,"formate/nitrate transporter,Inner membrane protein yfdC,formate transporter,Formate/nitrite family of transporters,formate/nitrite transporter,Formate/nitrite transporter",-0.208282529,0.079583704,0.365417095,-0.016481744,0.803809167,0.981183785,0.012052238,0.87229612,0.991395482,1.494335925,0.031408143,0.345204045,0.100922549,0.058871909,0.209757114,0.008326797,0.892939397,1,-0.071561538,0.43670141,1,-0.097987476,0.254201171,1,-0.008114582,0.911354948,1,-0.043488772,0.55366514,0.990582323
BAL062_00054,BAL062_00054,hypothetical protein,-0.082482024,0.499872389,0.877305729,0.025182383,0.699525481,0.956571303,0.04595978,0.495194748,0.808448263,0.205713816,0.794376465,1,0.030726422,0.601276507,0.822784569,-0.042994242,0.488394939,0.913681767,-0.018643464,0.836536592,1,0.023554196,0.788124787,1,0.011263575,0.878224162,1,0.024991281,0.736639526,1
BAL062_00055,purC,"phosphoribosylaminoimidazole-succinocarboxamide synthase,Phosphoribosylaminoimidazole-succinocarboxamide synthase,phosphoribosylaminoimidazole-succinocarboxamide synthase,Phosphoribosylaminoimidazolesuccinocarboxamide (SAICAR) synthase,phosphoribosylaminoimidazolesuccinocarboxamide synthase,SAICAR synthetase",0.123150737,0.387846769,0.80533833,0.252073672,0.030804469,0.238144837,0.478895433,1.41E-05,0.000252284,2.91834268,0.003415153,0.115764128,0.47603729,8.92E-08,1.76E-06,0.634960584,4.05E-11,2.52E-09,0.439749086,0.000610427,0.05592446,0.522829137,0.000625124,0.017355238,0.790668459,5.37E-13,5.98E-11,1.291793109,7.04E-37,4.97E-34
BAL062_00056,BAL062_00056,NlpB,1.333111044,1.90E-16,7.14E-15,-0.086195893,0.209535222,0.703030264,0.01392221,0.852004783,0.988565063,-4.256030336,0.00473056,0.145290203,0.216171575,0.004702633,0.031074382,0.070106673,0.264287626,0.775882228,0.186259126,0.040975592,0.871463036,0.140792096,0.175263934,0.972822177,0.143989706,0.044948643,0.333743671,0.236952037,0.000500669,0.013011842
BAL062_00057,dapA_1,"Dihydrodipicolinate synthase,Dihydrodipicolinate synthase,dihydrodipicolinate synthase,dihydrodipicolinate synthase,Dihydrodipicolinate synthetase family",X,,,X,X,X,X,,,X,,,2.30287203,1,1,X,,,X,,,X,,,X,,,X,,
BAL062_00058,rutB,"nicotinamidase-like amidase,Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB,nicotinamidase/pyrazinamidase,pyrimidine utilization protein B,Isochorismatase family",-0.010353841,0.932555429,1,-0.021970907,0.747776372,0.964895535,0.054999089,0.447731315,0.785142587,-1.240848545,0.143620038,0.756037559,0.065972224,0.223260154,0.488467778,-0.100785649,0.111850533,0.573841865,0.028891075,0.754543259,1,-0.094279005,0.287556466,1,-0.023829701,0.730748454,0.983176541,-0.059172816,0.478209116,0.987690888
